line_name,stop_id,stop_line_idx,stop_name
25,8592182,2.0,"Pully, Joliette"
25,8588443,2.0,"Pully, Préau"
25,8588445,2.0,"Pully, gare"
25,8592193,4.5,"Pully, Pierraz-Portay"
25,8592172,4.5,"Pully, C. F. Ramuz"
25,8592186,6.0,"Pully, Métairie"
25,8592077,7.5,"Lausanne, Montchoisi"
25,8592084,7.5,"Lausanne, Musée Olympique"
25,8592039,9.0,"Lausanne, Elysée"
25,8592028,10.0,"Lausanne, Délices"
25,8591985,11.0,"Lausanne, jardin botanique"
25,8592005,12.0,"Lausanne, Cèdres"
25,8592110,13.0,"Lausanne, Riant-Cour"
25,8592044,14.5,"Lausanne, Figuiers"
25,8591983,14.5,"Lausanne, Batelière"
25,8593837,16.0,"Lausanne, Maladière-Figuiers"
25,8591995,17.0,"Lausanne, Bois de Vaux"
25,8592114,18.0,"Lausanne, Sablons"
25,8595521,19.0,"Lausanne, Bourdonnette nord"
25,8595602,20.0,"Chavannes-R., Dorigny"
25,8510422,21.0,"Chavannes-R., Talluchet"
25,8595534,22.0,"Renens VD, piscine"
25,8592209,23.0,"Renens VD, Censuy"
25,8588983,24.0,"Renens VD, gare sud"
25,8593869,25.0,"Chavannes-R., Glycines"
