line_name,stop_id,stop_line_idx,stop_name
9,8592178,1.0,"Prilly, église"
9,8592192,2.0,"Prilly, Perréaz"
9,8592173,3.0,"Prilly, centre"
9,8592181,4.0,"Prilly, Huttins"
9,8592124,5.0,"Lausanne, Valency"
9,8592078,6.0,"Lausanne, Montétan"
9,8592119,7.0,"Lausanne, St-Paul"
9,8592001,8.0,"Lausanne, Boston"
9,8592010,9.0,"Lausanne, Chauderon"
9,8591988,10.0,"Lausanne, Bel-Air"
9,8579254,11.5,"Lausanne, St-François"
9,8592051,11.5,"Lausanne, Georgette"
9,8591979,13.0,"Lausanne, Alpes"
9,8592062,14.0,"Lausanne, Jurigoz"
9,8592077,15.0,"Lausanne, Montchoisi"
9,8592193,16.5,"Pully, Pierraz-Portay"
9,8592186,16.5,"Pully, Métairie"
9,8592172,18.0,"Pully, C. F. Ramuz"
9,8592182,19.0,"Pully, Joliette"
9,8588445,20.0,"Pully, gare"
9,8592188,21.0,"Pully, Montillier"
9,8588446,22.0,"Pully, Clergère"
9,8592195,23.0,"Pully, Reymondin"
9,8592189,24.0,"Pully, Moulins"
9,8592169,25.0,"Paudex, village"
9,8592167,26.0,"Paudex, Marronnier"
9,8592150,27.0,"Lutry, Grand-Pont"
9,8592164,28.0,"Lutry, Voisinand"
9,8592160,29.0,"Lutry, Rive"
9,8592155,30.0,"Lutry, Corniche"
