line_name,stop_id,stop_line_idx,stop_name
7,8579256,1.0,"Pully, Val-Vert"
7,8588434,2.0,"Pully, Rosiaz"
7,8592023,3.0,"Lausanne, Coudrette"
7,8588432,4.0,"Lausanne, Chailly-Village"
7,8579255,5.0,"Lausanne, Pont-de-Chailly"
7,8592042,6.0,"Lausanne, Fauconnières"
7,8588431,7.0,"Lausanne, Béthusy"
7,8579237,8.0,"Lausanne, Ours"
7,8510575,9.0,"Lausanne, César-Roux"
7,8504176,10.0,"Lausanne, Tunnel"
7,8590442,11.0,"Lausanne, Riponne-M. Béjart"
7,8591988,12.0,"Lausanne, Bel-Air"
7,8592010,13.5,"Lausanne, Chauderon"
7,8592001,13.5,"Lausanne, Boston"
7,8592109,15.0,"Lausanne, Recordon"
7,8592102,16.0,"Lausanne, Prélaz"
7,8592103,17.0,"Lausanne, Prélaz-les-Roses"
7,8592049,18.0,"Prilly, Galicien"
7,8510543,19.0,"Prilly, Galicien/aréna"
