line_name,stop_id,stop_line_idx,stop_name
68,8579260,1.5,"Lutry, Croix/Lutry"
68,8588438,1.5,"Lutry, Echerins"
68,8579259,3.0,"Lutry, Landar"
68,8592152,4.0,"Lutry, Corsy-Dessus"
68,8592147,5.0,"Lutry, Brûlées"
68,8592159,6.0,"Lutry, Ponfilet"
68,8592157,7.0,"Lutry, Marionnettes"
68,8592149,8.0,"Lutry, Corsy-Dessous"
68,8591976,9.5,"La Conversion, gare"
68,8592151,9.5,"Lutry, Colline"
68,8592145,11.5,"Lutry, avenue William"
68,8592158,11.5,"Lutry, Orzens"
68,8592154,13.0,"Lutry, Les Champs"
68,8592164,14.0,"Lutry, Voisinand"
68,8593861,15.0,"Lutry, gare"
