line_name,stop_id,stop_line_idx,stop_name
54,8588838,1.0,"Renens VD, gare nord"
54,8593815,2.0,"Crissier, Jura"
54,8591939,3.0,"Crissier, Zinguerie"
54,8593816,4.0,"Crissier, Marcolet"
54,8595148,5.0,"Crissier, Chisaz"
54,8588843,6.0,"Crissier, centre"
54,8588845,7.0,"Crissier, Timonet"
54,8507632,8.0,"Crissier, Montremoën"
54,8595147,9.0,"Cheseaux-sur-L., Châtelard"
54,8591940,10.0,"Cugy VD, Cavenette"
54,8592139,11.0,"Le Mont-sur-L., Budron"
54,8592142,12.0,"Le Mont-sur-L., Fougères"
54,8592141,13.0,"Le Mont-sur-L., Etavez"
54,8504177,14.0,"Le Mont-sur-L., Grand-Mont"
