stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8510421,0,112.0,116.0,"Crissier, Chicorée"
8510421,1,115.0,121.5,"Crissier, Chicorée"
8510421,2,122.0,127.5,"Crissier, Chicorée"
8510421,3,133.0,138.0,"Crissier, Chicorée"
8510421,4,137.0,144.0,"Crissier, Chicorée"
8510421,5,125.0,129.0,"Crissier, Chicorée"
8510421,6,81.0,84.0,"Crissier, Chicorée"
8588839,0,32.0,68.0,"Renens VD, 14 Avril"
8588839,1,31.0,70.0,"Renens VD, 14 Avril"
8588839,2,38.0,78.0,"Renens VD, 14 Avril"
8588839,3,44.0,80.0,"Renens VD, 14 Avril"
8588839,4,42.0,81.0,"Renens VD, 14 Avril"
8588839,5,45.0,82.0,"Renens VD, 14 Avril"
8588839,6,41.0,66.0,"Renens VD, 14 Avril"
8592178,0,0.0,0.0,"Prilly, église"
8592178,1,0.0,0.0,"Prilly, église"
8592178,2,0.0,0.0,"Prilly, église"
8592178,3,0.0,0.0,"Prilly, église"
8592178,4,0.0,0.0,"Prilly, église"
8592178,5,0.0,0.0,"Prilly, église"
8592178,6,0.0,0.0,"Prilly, église"
8592201,0,51.0,59.0,"Renens VD, 1er Mai"
8592201,1,51.0,57.0,"Renens VD, 1er Mai"
8592201,2,54.0,63.0,"Renens VD, 1er Mai"
8592201,3,61.0,68.0,"Renens VD, 1er Mai"
8592201,4,58.0,67.0,"Renens VD, 1er Mai"
8592201,5,63.0,69.0,"Renens VD, 1er Mai"
8592201,6,76.0,81.0,"Renens VD, 1er Mai"
8592202,0,0.0,24.0,"Renens VD, Avenir"
8592202,1,0.0,24.0,"Renens VD, Avenir"
8592202,2,0.0,23.0,"Renens VD, Avenir"
8592202,3,0.0,36.0,"Renens VD, Avenir"
8592202,4,0.0,26.0,"Renens VD, Avenir"
8592202,5,0.0,39.0,"Renens VD, Avenir"
8592202,6,0.0,22.0,"Renens VD, Avenir"
8592205,0,62.0,75.0,"Renens VD, Borjod"
8592205,1,62.0,75.0,"Renens VD, Borjod"
8592205,2,63.0,78.0,"Renens VD, Borjod"
8592205,3,71.0,84.0,"Renens VD, Borjod"
8592205,4,63.0,78.0,"Renens VD, Borjod"
8592205,5,62.0,71.0,"Renens VD, Borjod"
8592205,6,79.0,88.0,"Renens VD, Borjod"
8592206,0,57.0,80.0,"Renens VD, Bourg-Dessus"
8592206,1,60.0,82.0,"Renens VD, Bourg-Dessus"
8592206,2,61.0,83.5,"Renens VD, Bourg-Dessus"
8592206,3,66.0,89.0,"Renens VD, Bourg-Dessus"
8592206,4,60.0,85.0,"Renens VD, Bourg-Dessus"
8592206,5,57.0,75.0,"Renens VD, Bourg-Dessus"
8592206,6,55.0,67.0,"Renens VD, Bourg-Dessus"
8592212,0,59.0,68.0,"Renens VD, Follieu"
8592212,1,62.0,69.0,"Renens VD, Follieu"
8592212,2,63.0,72.5,"Renens VD, Follieu"
8592212,3,69.0,80.0,"Renens VD, Follieu"
8592212,4,64.0,75.0,"Renens VD, Follieu"
8592212,5,56.0,64.0,"Renens VD, Follieu"
8592212,6,52.0,59.0,"Renens VD, Follieu"
8592214,0,53.0,62.0,"Renens VD, Industrie"
8592214,1,55.0,62.5,"Renens VD, Industrie"
8592214,2,58.0,66.0,"Renens VD, Industrie"
8592214,3,63.0,71.0,"Renens VD, Industrie"
8592214,4,61.0,69.0,"Renens VD, Industrie"
8592214,5,64.0,70.0,"Renens VD, Industrie"
8592214,6,68.0,72.0,"Renens VD, Industrie"
8592220,0,27.0,37.0,"Renens VD, Saugiaz"
8592220,1,25.0,38.0,"Renens VD, Saugiaz"
8592220,2,30.0,41.0,"Renens VD, Saugiaz"
8592220,3,35.0,48.0,"Renens VD, Saugiaz"
8592220,4,30.0,42.0,"Renens VD, Saugiaz"
8592220,5,23.0,32.0,"Renens VD, Saugiaz"
8592220,6,47.0,54.5,"Renens VD, Saugiaz"
8592222,0,96.5,103.0,"Renens VD, Sur-la-Croix"
8592222,1,75.0,78.0,"Renens VD, Sur-la-Croix"
8592222,2,107.0,109.5,"Renens VD, Sur-la-Croix"
8592222,3,94.0,97.0,"Renens VD, Sur-la-Croix"
8592222,4,95.5,97.5,"Renens VD, Sur-la-Croix"
8592222,5,82.0,86.0,"Renens VD, Sur-la-Croix"
8592222,6,72.5,78.0,"Renens VD, Sur-la-Croix"
