stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8504177,0,0.0,0.0,"Le Mont-sur-L., Grand-Mont"
8504177,1,0.0,0.0,"Le Mont-sur-L., Grand-Mont"
8504177,2,0.0,0.0,"Le Mont-sur-L., Grand-Mont"
8504177,3,0.0,0.0,"Le Mont-sur-L., Grand-Mont"
8504177,4,0.0,0.0,"Le Mont-sur-L., Grand-Mont"
8504177,5,0.0,0.0,"Le Mont-sur-L., Grand-Mont"
8504177,6,0.0,0.0,"Le Mont-sur-L., Grand-Mont"
8507632,0,60.0,65.0,"Crissier, Montremoën"
8507632,1,73.0,80.5,"Crissier, Montremoën"
8507632,2,76.5,81.0,"Crissier, Montremoën"
8507632,3,95.5,107.5,"Crissier, Montremoën"
8507632,4,73.0,79.5,"Crissier, Montremoën"
8507632,5,33.0,42.5,"Crissier, Montremoën"
8507632,6,35.0,40.5,"Crissier, Montremoën"
8588838,0,0.0,0.0,"Renens VD, gare nord"
8588838,1,0.0,0.0,"Renens VD, gare nord"
8588838,2,0.0,0.0,"Renens VD, gare nord"
8588838,3,0.0,0.0,"Renens VD, gare nord"
8588838,4,0.0,0.0,"Renens VD, gare nord"
8588838,5,0.0,0.0,"Renens VD, gare nord"
8588838,6,0.0,0.0,"Renens VD, gare nord"
8588843,0,69.0,90.0,"Crissier, centre"
8588843,1,77.0,95.0,"Crissier, centre"
8588843,2,78.0,100.0,"Crissier, centre"
8588843,3,71.5,94.0,"Crissier, centre"
8588843,4,77.0,96.0,"Crissier, centre"
8588843,5,50.0,66.0,"Crissier, centre"
8588843,6,29.0,41.0,"Crissier, centre"
8588845,0,61.5,75.0,"Crissier, Timonet"
8588845,1,67.0,80.0,"Crissier, Timonet"
8588845,2,72.0,86.0,"Crissier, Timonet"
8588845,3,63.5,78.0,"Crissier, Timonet"
8588845,4,69.0,82.0,"Crissier, Timonet"
8588845,5,42.0,55.0,"Crissier, Timonet"
8588845,6,22.0,31.0,"Crissier, Timonet"
8591939,0,77.0,91.0,"Crissier, Zinguerie"
8591939,1,80.0,94.0,"Crissier, Zinguerie"
8591939,2,82.0,98.0,"Crissier, Zinguerie"
8591939,3,79.0,94.0,"Crissier, Zinguerie"
8591939,4,82.0,96.0,"Crissier, Zinguerie"
8591939,5,64.0,78.0,"Crissier, Zinguerie"
8591939,6,45.0,53.0,"Crissier, Zinguerie"
8591940,0,54.0,61.0,"Cugy VD, Cavenette"
8591940,1,60.0,67.0,"Cugy VD, Cavenette"
8591940,2,58.0,63.0,"Cugy VD, Cavenette"
8591940,3,55.0,62.0,"Cugy VD, Cavenette"
8591940,4,61.0,67.0,"Cugy VD, Cavenette"
8591940,5,42.0,48.0,"Cugy VD, Cavenette"
8591940,6,28.0,32.0,"Cugy VD, Cavenette"
8592139,0,55.0,63.0,"Le Mont-sur-L., Budron"
8592139,1,60.0,70.0,"Le Mont-sur-L., Budron"
