stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8504176,0,-1.0,22.0,"Lausanne, Tunnel"
8504176,1,-1.0,25.0,"Lausanne, Tunnel"
8504176,2,6.0,32.0,"Lausanne, Tunnel"
8504176,3,0.0,24.5,"Lausanne, Tunnel"
8504176,4,6.0,34.0,"Lausanne, Tunnel"
8504176,5,25.0,33.5,"Lausanne, Tunnel"
8504176,6,0.0,21.0,"Lausanne, Tunnel"
8510574,0,51.0,55.0,"Lausanne, Eugène-Rambert"
8510574,1,64.0,69.0,"Lausanne, Eugène-Rambert"
8510574,2,66.0,72.0,"Lausanne, Eugène-Rambert"
8510574,3,66.0,71.0,"Lausanne, Eugène-Rambert"
8510574,4,68.0,72.0,"Lausanne, Eugène-Rambert"
8510574,5,60.0,66.0,"Lausanne, Eugène-Rambert"
8510574,6,46.0,48.0,"Lausanne, Eugène-Rambert"
8579254,0,-19.0,24.0,"Lausanne, St-François"
8579254,1,-12.0,29.0,"Lausanne, St-François"
8579254,2,-9.0,30.0,"Lausanne, St-François"
8579254,3,-18.0,28.0,"Lausanne, St-François"
8579254,4,-10.0,32.0,"Lausanne, St-François"
8579254,5,16.5,57.0,"Lausanne, St-François"
8579254,6,-7.0,26.0,"Lausanne, St-François"
8590442,0,-11.0,7.0,"Lausanne, Riponne-M. Béjart"
8590442,1,-12.0,10.0,"Lausanne, Riponne-M. Béjart"
8590442,2,-3.0,22.0,"Lausanne, Riponne-M. Béjart"
8590442,3,-6.0,14.0,"Lausanne, Riponne-M. Béjart"
8590442,4,0.0,25.0,"Lausanne, Riponne-M. Béjart"
8590442,5,36.5,67.0,"Lausanne, Riponne-M. Béjart"
8590442,6,0.0,21.0,"Lausanne, Riponne-M. Béjart"
8591980,0,57.0,73.0,"Lausanne, Aubépines"
8591980,1,67.0,82.0,"Lausanne, Aubépines"
8591980,2,62.0,77.0,"Lausanne, Aubépines"
8591980,3,59.0,75.0,"Lausanne, Aubépines"
8591980,4,64.0,82.5,"Lausanne, Aubépines"
8591980,5,102.0,117.0,"Lausanne, Aubépines"
8591980,6,82.0,97.0,"Lausanne, Aubépines"
