stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8588436,0,0.0,9.0,"Belmont-sur-L., Grands Champs"
8588436,1,0.0,9.0,"Belmont-sur-L., Grands Champs"
8588436,2,0.0,8.0,"Belmont-sur-L., Grands Champs"
8588436,3,0.0,10.0,"Belmont-sur-L., Grands Champs"
8588436,4,0.0,2.0,"Belmont-sur-L., Grands Champs"
8588436,5,0.0,0.0,"Belmont-sur-L., Grands Champs"
8588436,6,0.0,0.0,"Belmont-sur-L., Grands Champs"
8588446,0,0.0,10.0,"Pully, Clergère"
8588446,1,0.0,9.0,"Pully, Clergère"
8588446,2,0.0,9.0,"Pully, Clergère"
8588446,3,0.0,9.0,"Pully, Clergère"
8588446,4,0.0,14.0,"Pully, Clergère"
8588446,5,0.0,0.0,"Pully, Clergère"
8588446,6,0.0,0.0,"Pully, Clergère"
8593795,0,53.0,62.0,"Belmont-sur-L., Chaffeises"
8593795,1,55.0,64.0,"Belmont-sur-L., Chaffeises"
8593795,2,58.0,67.0,"Belmont-sur-L., Chaffeises"
8593795,3,56.0,65.0,"Belmont-sur-L., Chaffeises"
8593795,4,53.0,60.0,"Belmont-sur-L., Chaffeises"
8593795,5,29.5,38.0,"Belmont-sur-L., Chaffeises"
8593795,6,17.0,25.0,"Belmont-sur-L., Chaffeises"
8593798,0,51.0,77.0,"Belmont-sur-L., Burenoz"
8593798,1,54.0,78.0,"Belmont-sur-L., Burenoz"
8593798,2,58.0,82.0,"Belmont-sur-L., Burenoz"
8593798,3,56.0,78.0,"Belmont-sur-L., Burenoz"
8593798,4,50.0,75.0,"Belmont-sur-L., Burenoz"
8593798,5,28.0,47.0,"Belmont-sur-L., Burenoz"
8593798,6,19.0,33.0,"Belmont-sur-L., Burenoz"
8593806,0,62.0,78.0,"Belmont-sur-L., Rouvène"
8593806,1,64.0,83.0,"Belmont-sur-L., Rouvène"
8593806,2,66.0,85.0,"Belmont-sur-L., Rouvène"
8593806,3,65.0,83.0,"Belmont-sur-L., Rouvène"
8593806,4,57.0,76.0,"Belmont-sur-L., Rouvène"
8593806,5,35.0,47.0,"Belmont-sur-L., Rouvène"
8593806,6,27.0,37.0,"Belmont-sur-L., Rouvène"
8593850,0,72.0,81.0,"Pully, Caudoz"
8593850,1,75.0,85.0,"Pully, Caudoz"
8593850,2,76.0,85.0,"Pully, Caudoz"
8593850,3,74.0,84.0,"Pully, Caudoz"
8593850,4,73.0,83.0,"Pully, Caudoz"
8593850,5,49.0,58.0,"Pully, Caudoz"
8593850,6,43.0,47.0,"Pully, Caudoz"
8595190,0,41.0,49.0,"Belmont-sur-L., Malavaux"
8595190,1,45.0,55.0,"Belmont-sur-L., Malavaux"
8595190,2,45.0,57.0,"Belmont-sur-L., Malavaux"
8595190,3,44.0,56.0,"Belmont-sur-L., Malavaux"
8595190,4,35.0,46.0,"Belmont-sur-L., Malavaux"
8595190,5,11.0,24.0,"Belmont-sur-L., Malavaux"
8595190,6,-14.0,0.0,"Belmont-sur-L., Malavaux"
8595191,0,53.0,59.0,"Pully,Centre Sportif Rochettaz"
8595191,1,58.0,63.0,"Pully,Centre Sportif Rochettaz"
8595191,2,60.0,66.0,"Pully,Centre Sportif Rochettaz"
8595191,3,55.0,61.0,"Pully,Centre Sportif Rochettaz"
8595191,4,55.0,59.0,"Pully,Centre Sportif Rochettaz"
8595191,5,31.0,35.0,"Pully,Centre Sportif Rochettaz"
8595191,6,18.0,23.0,"Pully,Centre Sportif Rochettaz"
8595192,0,64.0,70.0,"Pully, Ruisselet"
8595192,1,68.0,74.0,"Pully, Ruisselet"
8595192,2,67.0,74.0,"Pully, Ruisselet"
8595192,3,66.0,72.0,"Pully, Ruisselet"
8595192,4,66.0,74.0,"Pully, Ruisselet"
8595192,5,42.0,47.0,"Pully, Ruisselet"
8595192,6,34.0,39.0,"Pully, Ruisselet"
8595625,0,87.0,92.0,"Belmont-sur-L., Pâquis"
8595625,1,89.0,96.0,"Belmont-sur-L., Pâquis"
8595625,2,87.0,95.0,"Belmont-sur-L., Pâquis"
8595625,3,89.0,95.0,"Belmont-sur-L., Pâquis"
8595625,4,88.0,95.0,"Belmont-sur-L., Pâquis"
8595625,5,62.0,67.0,"Belmont-sur-L., Pâquis"
8595625,6,57.5,61.0,"Belmont-sur-L., Pâquis"
