stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8579254,0,23.0,68.0,"Lausanne, St-François"
8579254,1,42.0,87.0,"Lausanne, St-François"
8579254,2,41.0,87.0,"Lausanne, St-François"
8579254,3,46.0,92.0,"Lausanne, St-François"
8579254,4,34.0,77.0,"Lausanne, St-François"
8579254,5,36.0,76.0,"Lausanne, St-François"
8579254,6,-7.0,35.0,"Lausanne, St-François"
8590442,0,27.0,80.0,"Lausanne, Riponne-M. Béjart"
8590442,1,46.0,101.0,"Lausanne, Riponne-M. Béjart"
8590442,2,45.0,103.0,"Lausanne, Riponne-M. Béjart"
8590442,3,47.0,105.0,"Lausanne, Riponne-M. Béjart"
8590442,4,40.0,98.0,"Lausanne, Riponne-M. Béjart"
8590442,5,50.0,105.0,"Lausanne, Riponne-M. Béjart"
8590442,6,14.0,63.0,"Lausanne, Riponne-M. Béjart"
8591984,0,56.0,73.0,"Lausanne, Beaulieu"
8591984,1,71.0,89.0,"Lausanne, Beaulieu"
8591984,2,71.0,88.0,"Lausanne, Beaulieu"
8591984,3,73.0,91.0,"Lausanne, Beaulieu"
8591984,4,64.0,81.0,"Lausanne, Beaulieu"
8591984,5,84.0,98.0,"Lausanne, Beaulieu"
8591984,6,60.0,75.0,"Lausanne, Beaulieu"
8591986,0,54.0,68.0,"Lausanne, Beau-Rivage"
8591986,1,69.0,82.0,"Lausanne, Beau-Rivage"
8591986,2,64.0,80.0,"Lausanne, Beau-Rivage"
8591986,3,69.0,83.0,"Lausanne, Beau-Rivage"
8591986,4,61.0,75.0,"Lausanne, Beau-Rivage"
8591986,5,64.0,78.0,"Lausanne, Beau-Rivage"
8591986,6,53.0,67.0,"Lausanne, Beau-Rivage"
8591988,0,52.0,95.0,"Lausanne, Bel-Air"
8591988,1,70.0,115.0,"Lausanne, Bel-Air"
8591988,2,70.0,115.0,"Lausanne, Bel-Air"
8591988,3,73.0,116.5,"Lausanne, Bel-Air"
8591988,4,63.0,110.0,"Lausanne, Bel-Air"
8591988,5,66.0,111.0,"Lausanne, Bel-Air"
8591988,6,28.0,68.0,"Lausanne, Bel-Air"
8591989,0,15.0,27.0,"Lausanne, Bellerive"
8591989,1,30.0,40.0,"Lausanne, Bellerive"
8591989,2,26.0,39.0,"Lausanne, Bellerive"
8591989,3,31.0,43.0,"Lausanne, Bellerive"
8591989,4,20.0,31.0,"Lausanne, Bellerive"
