stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8579239,0,0.0,0.0,"Epalinges, Croisettes"
8579239,1,0.0,0.0,"Epalinges, Croisettes"
8579239,2,0.0,0.0,"Epalinges, Croisettes"
8579239,3,0.0,0.0,"Epalinges, Croisettes"
8579239,4,0.0,0.0,"Epalinges, Croisettes"
8579239,5,0.0,0.0,"Epalinges, Croisettes"
8579239,6,0.0,0.0,"Epalinges, Croisettes"
8587547,0,69.0,81.0,"Lausanne, Chalet à Matthey"
8587547,1,75.0,88.0,"Lausanne, Chalet à Matthey"
8587547,2,80.0,94.0,"Lausanne, Chalet à Matthey"
8587547,3,76.0,90.0,"Lausanne, Chalet à Matthey"
8587547,4,77.0,89.5,"Lausanne, Chalet à Matthey"
8587547,5,90.0,98.0,"Lausanne, Chalet à Matthey"
8587547,6,88.0,95.0,"Lausanne, Chalet à Matthey"
8587548,0,38.0,51.0,"Lausanne, Vers-chez-les-Blanc"
8587548,1,43.0,57.0,"Lausanne, Vers-chez-les-Blanc"
8587548,2,49.0,63.0,"Lausanne, Vers-chez-les-Blanc"
8587548,3,45.0,58.0,"Lausanne, Vers-chez-les-Blanc"
8587548,4,45.0,58.0,"Lausanne, Vers-chez-les-Blanc"
8587548,5,52.0,65.0,"Lausanne, Vers-chez-les-Blanc"
8587548,6,55.0,65.0,"Lausanne, Vers-chez-les-Blanc"
8587549,0,0.0,0.0,"Lausanne, Vulliette"
8587549,1,0.0,0.0,"Lausanne, Vulliette"
8587549,2,0.0,0.0,"Lausanne, Vulliette"
8587549,3,0.0,0.0,"Lausanne, Vulliette"
8587549,4,0.0,0.0,"Lausanne, Vulliette"
8587550,0,66.0,77.0,"Montblesson, Perronnaz"
8587550,1,71.0,82.0,"Montblesson, Perronnaz"
8587550,2,73.0,86.0,"Montblesson, Perronnaz"
8587550,3,71.0,83.0,"Montblesson, Perronnaz"
8587550,4,71.0,85.0,"Montblesson, Perronnaz"
8587550,5,73.0,85.0,"Montblesson, Perronnaz"
8587550,6,71.0,77.0,"Montblesson, Perronnaz"
8587929,0,0.0,17.0,"Lausanne, Chalet-à-Gobet"
8587929,1,0.0,16.0,"Lausanne, Chalet-à-Gobet"
8587929,2,0.0,18.0,"Lausanne, Chalet-à-Gobet"
8587929,3,0.0,18.0,"Lausanne, Chalet-à-Gobet"
8587929,4,0.0,17.0,"Lausanne, Chalet-à-Gobet"
8587929,5,0.0,13.0,"Lausanne, Chalet-à-Gobet"
8587929,6,0.0,12.0,"Lausanne, Chalet-à-Gobet"
8589525,0,43.0,49.0,"Epalinges, Planches"
8589525,1,48.0,53.0,"Epalinges, Planches"
8589525,2,51.0,57.0,"Epalinges, Planches"
8589525,3,49.0,54.0,"Epalinges, Planches"
8589525,4,49.0,55.0,"Epalinges, Planches"
8589525,5,77.0,81.0,"Epalinges, Planches"
8589525,6,67.0,71.0,"Epalinges, Planches"
8591970,0,65.0,75.0,"Epalinges, Pré-d'Yverdon"
8591970,1,69.0,77.0,"Epalinges, Pré-d'Yverdon"
8591970,2,71.0,80.0,"Epalinges, Pré-d'Yverdon"
8591970,3,70.0,78.0,"Epalinges, Pré-d'Yverdon"
8591970,4,71.0,80.0,"Epalinges, Pré-d'Yverdon"
8591970,5,92.0,100.0,"Epalinges, Pré-d'Yverdon"
8591970,6,83.0,87.0,"Epalinges, Pré-d'Yverdon"
8592015,0,64.0,74.0,"Lausanne, Chevreuils"
8592015,1,70.0,80.0,"Lausanne, Chevreuils"
8592015,2,75.0,86.0,"Lausanne, Chevreuils"
8592015,3,70.0,80.0,"Lausanne, Chevreuils"
8592015,4,71.0,80.0,"Lausanne, Chevreuils"
8592015,5,69.0,79.0,"Lausanne, Chevreuils"
8592015,6,55.0,62.0,"Lausanne, Chevreuils"
8592037,0,34.0,51.0,"Lausanne, Cojonnex/EHL"
8592037,1,41.0,53.0,"Lausanne, Cojonnex/EHL"
8592037,2,32.5,41.5,"Lausanne, Cojonnex/EHL"
8592037,3,39.0,54.0,"Lausanne, Cojonnex/EHL"
8592037,4,38.0,48.0,"Lausanne, Cojonnex/EHL"
8592058,0,69.0,76.0,"Lausanne, Haute Combe"
8592058,1,75.0,81.0,"Lausanne, Haute Combe"
8592058,2,79.5,86.0,"Lausanne, Haute Combe"
8592058,3,76.0,81.0,"Lausanne, Haute Combe"
8592058,4,77.0,83.0,"Lausanne, Haute Combe"
8592058,5,76.0,81.0,"Lausanne, Haute Combe"
8592058,6,72.0,76.0,"Lausanne, Haute Combe"
8592070,0,12.0,27.0,"Lausanne, Mauvernay"
8592070,1,21.5,33.5,"Lausanne, Mauvernay"
8592070,2,6.0,17.0,"Lausanne, Mauvernay"
8592070,3,13.5,32.0,"Lausanne, Mauvernay"
8592070,4,14.5,30.5,"Lausanne, Mauvernay"
8592073,0,73.0,79.0,"Lausanne, Molliettes"
8592073,1,79.0,86.0,"Lausanne, Molliettes"
8592073,2,85.0,90.0,"Lausanne, Molliettes"
8592073,3,79.0,87.0,"Lausanne, Molliettes"
8592073,4,81.0,87.5,"Lausanne, Molliettes"
8592073,5,86.0,92.0,"Lausanne, Molliettes"
8592073,6,88.0,91.0,"Lausanne, Molliettes"
8592100,0,68.0,81.0,"Lausanne, Praz-Collet"
8592100,1,72.0,85.0,"Lausanne, Praz-Collet"
8592100,2,78.0,92.0,"Lausanne, Praz-Collet"
8592100,3,75.0,88.0,"Lausanne, Praz-Collet"
8592100,4,73.0,86.0,"Lausanne, Praz-Collet"
8592100,5,79.0,93.0,"Lausanne, Praz-Collet"
8592100,6,81.0,93.0,"Lausanne, Praz-Collet"
8592130,0,117.0,132.5,"Lausanne, Vert-Bois/EHL"
8592130,1,123.0,140.0,"Lausanne, Vert-Bois/EHL"
8592130,2,110.0,121.0,"Lausanne, Vert-Bois/EHL"
8592130,3,118.5,137.0,"Lausanne, Vert-Bois/EHL"
8592130,4,120.0,127.0,"Lausanne, Vert-Bois/EHL"
