line_name,stop_id,stop_line_idx,stop_name
32,8592049,1.0,"Prilly, Galicien"
32,8501209,2.0,"Lausanne, Malley"
32,8592215,3.0,"Renens VD, Longemalle"
32,8592219,4.0,"Renens VD, rue du Lac"
32,8592210,5.0,"Renens VD, Chêne"
32,8592218,6.0,"Renens VD, Caudray"
32,8592209,7.0,"Renens VD, Censuy"
32,8593866,8.0,"Chavannes-R., Préfaully"
32,8593868,9.5,"Chavannes-R., Concorde"
32,8591933,9.5,"Chavannes-R., Planta"
32,8593869,11.0,"Chavannes-R., Glycines"
32,8588983,12.0,"Renens VD, gare sud"
32,8592202,13.0,"Renens VD, Avenir"
32,8588839,14.5,"Renens VD, 14 Avril"
32,8510421,14.5,"Crissier, Chicorée"
32,8588840,16.0,"Crissier, Noutes"
32,8588841,17.0,"Crissier, scierie"
32,8588842,18.0,"Crissier, Bré"
32,8588843,19.0,"Crissier, centre"
32,8588845,20.0,"Crissier, Timonet"
32,8588846,21.5,"Villars-Ste-Croix, Croix Péage"
32,8595978,21.5,"Villars-Ste-Croix, Colice"
32,8588848,23.0,"Villars-Ste-Croix, Le Sansy"
32,8588847,24.0,"Villars-Ste-Croix, village"
32,8594270,25.0,"Mex VD, Faraz"
