line_name,stop_id,stop_line_idx,stop_name
85,8592068,1.0,"Lausanne, Maladière"
85,8592080,2.0,"Lausanne, Montoie"
85,8591983,3.0,"Lausanne, Batelière"
85,8592110,4.0,"Lausanne, Riant-Cour"
85,8592005,5.0,"Lausanne, Cèdres"
85,8592028,6.5,"Lausanne, Délices"
85,8591985,6.5,"Lausanne, jardin botanique"
85,8592039,8.0,"Lausanne, Elysée"
85,8592084,9.0,"Lausanne, Musée Olympique"
85,8592077,10.0,"Lausanne, Montchoisi"
85,8592062,11.5,"Lausanne, Jurigoz"
85,8591979,11.5,"Lausanne, Alpes"
85,8592051,13.0,"Lausanne, Georgette"
85,8579254,14.0,"Lausanne, St-François"
85,8592051,15.0,"Lausanne, Georgette"
85,8592038,16.0,"Lausanne, Eglantine"
85,8591981,17.0,"Lausanne, avenue du Léman"
85,8591999,18.0,"Lausanne, Bonne-Espérance"
85,8592190,19.0,"Pully, Perraudettaz"
85,8592188,20.0,"Pully, Montillier"
85,8588446,21.0,"Pully, Clergère"
85,8592195,22.0,"Pully, Reymondin"
85,8592189,23.0,"Pully, Moulins"
85,8592169,24.0,"Paudex, village"
85,8592167,25.0,"Paudex, Marronnier"
85,8592150,26.0,"Lutry, Grand-Pont"
85,8592164,27.0,"Lutry, Voisinand"
85,8592160,28.0,"Lutry, Rive"
85,8592155,29.0,"Lutry, Corniche"
