line_name,stop_id,stop_line_idx,stop_name
3,8592046,1.0,"Lausanne, Fontenay"
3,8592064,2.0,"Lausanne, Languedoc"
3,8592097,3.0,"Lausanne, Pont Marc Dufour"
3,8592004,4.0,"Lausanne, Cécil"
3,8592010,5.0,"Lausanne, Chauderon"
3,8592120,6.0,"Lausanne, St-Roch"
3,8592060,7.0,"Lausanne, Beaulieu-Jomini"
3,8592076,8.0,"Lausanne, Mont-Blanc"
3,8592003,9.0,"Lausanne, casernes"
3,8592111,10.0,"Lausanne, Rouvraie"
3,8592082,11.0,"Lausanne, Motte"
3,8592047,12.0,"Lausanne, Forêt"
3,8587357,13.0,"Lausanne, Bellevaux"
