line_name,stop_id,stop_line_idx,stop_name
18,8588845,1.0,"Crissier, Timonet"
18,8588843,2.0,"Crissier, centre"
18,8588842,3.0,"Crissier, Bré"
18,8592204,4.0,"Renens VD, Bois-Genoud"
18,8592222,5.5,"Renens VD, Sur-la-Croix"
18,8592203,5.5,"Renens VD, Baumettes"
18,8592208,7.5,"Renens VD, Bugnon"
18,8592206,7.5,"Renens VD, Bourg-Dessus"
18,8592207,9.0,"Renens VD, Broye"
18,8592211,10.0,"Renens VD, Florissant"
18,8592217,11.0,"Renens VD, Perrelet"
18,8592049,12.0,"Prilly, Galicien"
18,8592103,13.0,"Lausanne, Prélaz-les-Roses"
18,8592102,14.0,"Lausanne, Prélaz"
18,8592109,15.0,"Lausanne, Recordon"
18,8592001,16.0,"Lausanne, Boston"
18,8592010,17.0,"Lausanne, Chauderon"
18,8591988,18.0,"Lausanne, Bel-Air"
18,8590442,19.0,"Lausanne, Riponne-M. Béjart"
18,8504176,20.5,"Lausanne, Tunnel"
18,8592071,20.5,"Lausanne, Mémise"
18,8592053,22.0,"Lausanne, Grande-Borde"
18,8592132,23.0,"Lausanne, Vieux-Moulin"
18,8592082,24.5,"Lausanne, Motte"
18,8592111,24.5,"Lausanne, Rouvraie"
18,8592047,26.0,"Lausanne, Forêt"
18,8587357,27.5,"Lausanne, Bellevaux"
18,8592089,27.5,"Lausanne, Pavement"
18,8592092,29.0,"Lausanne, Piécettes"
18,8592019,30.0,"Lausanne, Clochatte"
