line_name,stop_id,stop_line_idx,stop_name
86,8593838,1.0,"Lausanne, Maladière-Lac"
86,8592121,2.0,"Lausanne, Théâtre de Vidy"
86,8591989,3.0,"Lausanne, Bellerive"
86,8592090,4.0,"Lausanne, Pêcheurs"
86,8592086,5.0,"Lausanne, Ouchy-Olympique"
86,8591986,6.0,"Lausanne, Beau-Rivage"
86,8592061,7.0,"Lausanne, Jordils"
86,8592026,8.0,"Lausanne, Croix d'Ouchy"
86,8592079,9.5,"Lausanne, Mont-Fleuri"
86,8592020,9.5,"Lausanne, Closelet"
86,8592072,11.0,"Lausanne, Mirabeau"
86,8592051,12.0,"Lausanne, Georgette"
86,8579254,13.0,"Lausanne, St-François"
