line_name,stop_id,stop_line_idx,stop_name
33,8594988,1.5,"St-Sulpice VD, Venoge nord"
33,8591959,1.5,"Ecublens VD, Champs-Courbes"
33,8594890,3.0,"Ecublens VD, Montaney"
33,8591956,4.0,"Ecublens VD, Renges"
33,8591949,5.0,"Ecublens VD, En Enjalin"
33,8591954,6.0,"Ecublens VD, Perrettes"
33,8591961,7.0,"Ecublens VD, Villars"
33,8588873,8.0,"Ecublens VD, Pontet"
33,8591960,9.0,"Ecublens VD, Veilloud"
33,8591957,10.0,"Ecublens VD, Stand"
33,8591955,11.0,"Ecublens VD, place de sport"
33,8591948,12.0,"Ecublens VD, Croset"
33,8591953,13.0,"Ecublens VD, Parc"
33,8591958,14.0,"Ecublens VD, Suchet-Forêt"
33,8510721,15.0,"Ecublens VD, Epenex/Pont-Bleu"
33,8588983,16.0,"Renens VD, gare sud"
33,8592209,17.0,"Renens VD, Censuy"
33,8592218,18.0,"Renens VD, Caudray"
33,8592210,19.0,"Renens VD, Chêne"
33,8592219,20.0,"Renens VD, rue du Lac"
33,8592215,21.0,"Renens VD, Longemalle"
33,8501209,22.0,"Lausanne, Malley"
33,8592049,23.5,"Prilly, Galicien"
33,8592217,23.5,"Renens VD, Perrelet"
33,8592211,25.0,"Renens VD, Florissant"
33,8592207,26.0,"Renens VD, Broye"
33,8592206,27.0,"Renens VD, Bourg-Dessus"
33,8592192,28.0,"Prilly, Perréaz"
33,8592173,29.0,"Prilly, centre"
33,8592175,30.0,"Prilly, Chasseur"
33,8592176,31.0,"Prilly, Coudraie"
33,8592187,32.0,"Prilly, Mont-Goulin"
