line_name,stop_id,stop_line_idx,stop_name
47,8588454,1.5,"Grandvaux, Pra Grana"
47,8588453,1.5,"Aran, Pra Forny"
47,8588452,3.0,"Lutry, Jordillon"
47,8588451,4.0,"Lutry, Sapelle"
47,8579260,5.5,"Lutry, Croix/Lutry"
47,8588438,5.5,"Lutry, Echerins"
47,8579259,7.0,"Lutry, Landar"
47,8579258,8.0,"Belmont-sur-L., Blessoney"
47,8588436,9.5,"Belmont-sur-L., Grands Champs"
47,8579257,9.5,"Belmont-sur-L., centre"
47,8588435,11.0,"Pully, Chenaulaz"
47,8579256,12.0,"Pully, Val-Vert"
47,8588449,13.5,"Pully, Vallon"
47,8588450,13.5,"Pully, Pré Pariset"
47,8588448,15.5,"Pully, Boverattes"
47,8588447,15.5,"Pully, Rochettaz"
47,8588446,17.0,"Pully, Clergère"
47,8588445,18.0,"Pully, gare"
47,8588442,19.5,"Pully, Osches"
47,8588443,19.5,"Pully, Préau"
47,8588441,21.0,"Pully, Châtaignier"
47,8588440,22.0,"Pully, Somais"
47,8588439,23.0,"Pully, port"
