line_name,stop_id,stop_line_idx,stop_name
6,8592101,1.0,"Lausanne, Praz-Séchaud"
6,8592002,2.0,"Lausanne, Boveresses"
6,8579245,3.0,"Lausanne, Foyer"
6,8592127,4.0,"Lausanne, Valmont"
6,8592118,5.0,"Lausanne, St-Etienne"
6,8579238,6.0,"Lausanne, Sallaz"
6,8592131,7.0,"Lausanne, Victor-Ruffy"
6,8592126,8.0,"Lausanne, Vallonnette"
6,8592136,9.0,"Lausanne, Virgile-Rossel"
6,8591978,10.0,"Lausanne, Allières/CHUV"
6,8588431,11.0,"Lausanne, Béthusy"
6,8579237,12.0,"Lausanne, Ours"
6,8589522,13.0,"Lausanne, place du Nord"
6,8504176,14.0,"Lausanne, Tunnel"
6,8590442,15.0,"Lausanne, Riponne-M. Béjart"
6,8591988,16.0,"Lausanne, Bel-Air"
6,8592010,17.0,"Lausanne, Chauderon"
6,8592096,18.0,"Lausanne, Pont Chauderon"
6,8592004,19.0,"Lausanne, Cécil"
6,8592050,20.0,"Lausanne, gare"
6,8592040,21.0,"Lausanne, Epinettes"
6,8592027,22.0,"Lausanne, Dapples"
6,8591985,23.0,"Lausanne, jardin botanique"
6,8592005,24.0,"Lausanne, Cèdres"
6,8592110,25.0,"Lausanne, Riant-Cour"
6,8591983,26.0,"Lausanne, Batelière"
6,8592080,27.0,"Lausanne, Montoie"
6,8592068,28.0,"Lausanne, Maladière"
