line_name,stop_id,stop_line_idx,stop_name
45,8591964,1.0,"Epalinges, Bois-Murat"
45,8591971,2.0,"Epalinges, Tuileries"
45,8579239,3.0,"Epalinges, Croisettes"
45,8589525,4.0,"Epalinges, Planches"
45,8591966,5.0,"Epalinges, Croix-Blanche"
45,8593821,6.0,"Epalinges, Marcel Regamey"
45,8587546,7.0,"Epalinges, Lion d'Or"
45,8591968,8.0,"Epalinges, Grand Chemin"
45,8504171,9.0,"Lausanne, En Marin"
45,8592037,10.5,"Lausanne, Cojonnex/EHL"
45,8587549,10.5,"Lausanne, Vulliette"
45,8592070,12.0,"Lausanne, Mauvernay"
45,8587929,13.0,"Lausanne, Chalet-à-Gobet"
