line_name,stop_id,stop_line_idx,stop_name
17,8588846,1.0,"Villars-Ste-Croix, Croix Péage"
17,8594178,2.0,"Bussigny, Rente"
17,8594177,3.0,"Bussigny, Cocagne"
17,8591931,4.0,"Bussigny, Buyère"
17,8591930,5.0,"Bussigny, Croix de Plan"
17,8591935,6.0,"Crissier, Arc-en-Ciel"
17,8591939,7.0,"Crissier, Zinguerie"
17,8593815,8.0,"Crissier, Jura"
17,8588839,9.0,"Renens VD, 14 Avril"
17,8592202,10.0,"Renens VD, Avenir"
17,8592213,11.0,"Renens VD, Hôtel-de-Ville"
17,8592221,12.0,"Renens VD, Sous l'Eglise"
17,8592223,13.0,"Renens VD, village"
17,8592217,14.0,"Renens VD, Perrelet"
17,8592049,15.0,"Prilly, Galicien"
17,8592103,16.0,"Lausanne, Prélaz-les-Roses"
17,8592102,17.0,"Lausanne, Prélaz"
17,8592109,18.0,"Lausanne, Recordon"
17,8592001,19.0,"Lausanne, Boston"
17,8592010,20.0,"Lausanne, Chauderon"
17,8592010,21.5,"Lausanne, Chauderon"
17,8592011,21.5,"Lausanne, Chauderon-Ale"
