line_name,stop_id,stop_line_idx,stop_name
m1,8591818,1.0,"Lausanne-Flon, pl. de l'Europe"
m1,8592133,2.0,"Lausanne, Vigie"
m1,8501207,3.0,"Lausanne, Montelly"
m1,8501208,4.0,"Lausanne, Provence"
m1,8501209,5.0,"Lausanne, Malley"
m1,8501210,6.0,"Lausanne, Bourdonnette"
m1,8501211,7.0,"Chavannes-R., UNIL-Chamberonne"
m1,8501212,8.0,"Chavannes-R., UNIL-Mouline"
m1,8501213,9.0,"Ecublens VD, UNIL-Sorge"
m1,8501214,10.0,"Ecublens VD, EPFL"
m1,8501215,11.0,"Ecublens VD, Bassenges"
m1,8501216,12.0,"Ecublens VD, Cerisaie"
m1,8501217,13.0,"Chavannes-R., Crochy"
m1,8501218,14.0,"Ecublens VD, Epenex"
m1,8530749,15.0,"Renens VD, gare"
