stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8504176,0,51.0,96.0,"Lausanne, Tunnel"
8504176,1,73.5,121.0,"Lausanne, Tunnel"
8504176,2,77.0,123.0,"Lausanne, Tunnel"
8504176,3,72.0,117.0,"Lausanne, Tunnel"
8504176,4,67.0,112.0,"Lausanne, Tunnel"
8504176,5,96.0,148.5,"Lausanne, Tunnel"
8504176,6,45.0,88.0,"Lausanne, Tunnel"
8510543,0,0.0,0.0,"Prilly, Galicien/aréna"
8510543,1,0.0,0.0,"Prilly, Galicien/aréna"
8510543,2,0.0,0.0,"Prilly, Galicien/aréna"
8510543,3,0.0,0.0,"Prilly, Galicien/aréna"
8510543,4,0.0,0.0,"Prilly, Galicien/aréna"
8510543,5,0.0,0.0,"Prilly, Galicien/aréna"
8510543,6,0.0,0.0,"Prilly, Galicien/aréna"
8510575,0,42.0,62.0,"Lausanne, César-Roux"
8510575,1,56.0,78.0,"Lausanne, César-Roux"
8510575,2,56.0,78.0,"Lausanne, César-Roux"
8510575,3,55.0,76.0,"Lausanne, César-Roux"
8510575,4,51.0,72.0,"Lausanne, César-Roux"
8510575,5,73.0,95.0,"Lausanne, César-Roux"
8510575,6,38.0,55.0,"Lausanne, César-Roux"
8579237,0,-7.0,28.0,"Lausanne, Ours"
8579237,1,4.0,44.0,"Lausanne, Ours"
8579237,2,4.0,42.0,"Lausanne, Ours"
8579237,3,3.0,40.0,"Lausanne, Ours"
8579237,4,0.0,37.0,"Lausanne, Ours"
8579237,5,62.0,91.0,"Lausanne, Ours"
8579237,6,29.0,53.0,"Lausanne, Ours"
8579255,0,-9.0,25.0,"Lausanne, Pont-de-Chailly"
8579255,1,-1.0,35.5,"Lausanne, Pont-de-Chailly"
8579255,2,2.0,40.0,"Lausanne, Pont-de-Chailly"
8579255,3,-1.0,35.0,"Lausanne, Pont-de-Chailly"
8579255,4,0.0,35.0,"Lausanne, Pont-de-Chailly"
8579255,5,13.0,48.0,"Lausanne, Pont-de-Chailly"
8579255,6,-9.0,19.0,"Lausanne, Pont-de-Chailly"
8579256,0,0.0,0.0,"Pully, Val-Vert"
8579256,1,0.0,0.0,"Pully, Val-Vert"
8579256,2,0.0,0.0,"Pully, Val-Vert"
8579256,3,0.0,0.0,"Pully, Val-Vert"
8579256,4,0.0,0.0,"Pully, Val-Vert"
8579256,5,0.0,0.0,"Pully, Val-Vert"
8579256,6,0.0,0.0,"Pully, Val-Vert"
8588431,0,22.0,43.0,"Lausanne, Béthusy"
8588431,1,36.0,58.0,"Lausanne, Béthusy"
8588431,2,36.0,57.0,"Lausanne, Béthusy"
8588431,3,34.0,54.5,"Lausanne, Béthusy"
8588431,4,30.0,52.0,"Lausanne, Béthusy"
8588431,5,65.0,85.0,"Lausanne, Béthusy"
8588431,6,34.0,50.0,"Lausanne, Béthusy"
8588432,0,31.0,49.0,"Lausanne, Chailly-Village"
8588432,1,38.0,56.0,"Lausanne, Chailly-Village"
8588432,2,42.0,60.0,"Lausanne, Chailly-Village"
8588432,3,38.0,57.0,"Lausanne, Chailly-Village"
8588432,4,38.0,56.0,"Lausanne, Chailly-Village"
8588432,5,45.0,64.0,"Lausanne, Chailly-Village"
8588432,6,24.0,41.0,"Lausanne, Chailly-Village"
8588434,0,35.0,50.0,"Pully, Rosiaz"
8588434,1,40.0,57.0,"Pully, Rosiaz"
8588434,2,43.0,61.0,"Pully, Rosiaz"
8588434,3,40.0,57.0,"Pully, Rosiaz"
8588434,4,40.0,56.0,"Pully, Rosiaz"
8588434,5,47.0,62.0,"Pully, Rosiaz"
8588434,6,34.0,46.0,"Pully, Rosiaz"
8590442,0,57.0,97.0,"Lausanne, Riponne-M. Béjart"
8590442,1,80.0,118.0,"Lausanne, Riponne-M. Béjart"
8590442,2,82.0,122.0,"Lausanne, Riponne-M. Béjart"
8590442,3,76.0,118.5,"Lausanne, Riponne-M. Béjart"
8590442,4,73.0,115.0,"Lausanne, Riponne-M. Béjart"
8590442,5,102.0,144.0,"Lausanne, Riponne-M. Béjart"
8590442,6,44.0,77.0,"Lausanne, Riponne-M. Béjart"
8591988,0,44.0,105.0,"Lausanne, Bel-Air"
8591988,1,64.0,128.0,"Lausanne, Bel-Air"
8591988,2,69.0,132.0,"Lausanne, Bel-Air"
8591988,3,63.0,128.0,"Lausanne, Bel-Air"
8591988,4,59.0,124.0,"Lausanne, Bel-Air"
8591988,5,101.0,165.0,"Lausanne, Bel-Air"
8591988,6,31.0,76.0,"Lausanne, Bel-Air"
8592001,0,37.0,66.0,"Lausanne, Boston"
8592001,1,61.0,89.0,"Lausanne, Boston"
8592001,2,61.0,90.0,"Lausanne, Boston"
8592001,3,56.0,85.0,"Lausanne, Boston"
8592001,4,50.0,78.0,"Lausanne, Boston"
8592001,5,91.0,116.0,"Lausanne, Boston"
8592001,6,27.0,52.0,"Lausanne, Boston"
8592010,0,20.0,54.0,"Lausanne, Chauderon"
8592010,1,35.0,74.0,"Lausanne, Chauderon"
8592010,2,41.0,77.0,"Lausanne, Chauderon"
8592010,3,36.0,73.0,"Lausanne, Chauderon"
8592010,4,32.0,67.0,"Lausanne, Chauderon"
8592010,5,70.0,105.0,"Lausanne, Chauderon"
8592010,6,6.0,40.0,"Lausanne, Chauderon"
8592023,0,41.0,55.0,"Lausanne, Coudrette"
8592023,1,47.0,61.0,"Lausanne, Coudrette"
8592023,2,50.0,66.0,"Lausanne, Coudrette"
8592023,3,46.0,61.0,"Lausanne, Coudrette"
8592023,4,46.0,61.0,"Lausanne, Coudrette"
8592023,5,54.0,66.0,"Lausanne, Coudrette"
8592023,6,37.0,47.0,"Lausanne, Coudrette"
8592042,0,30.0,45.0,"Lausanne, Fauconnières"
8592042,1,41.0,55.0,"Lausanne, Fauconnières"
8592042,2,44.0,60.0,"Lausanne, Fauconnières"
8592042,3,40.0,54.0,"Lausanne, Fauconnières"
8592042,4,39.0,55.0,"Lausanne, Fauconnières"
8592042,5,56.0,71.0,"Lausanne, Fauconnières"
8592042,6,26.0,38.0,"Lausanne, Fauconnières"
8592049,0,38.0,47.0,"Prilly, Galicien"
8592049,1,81.0,102.0,"Prilly, Galicien"
8592049,2,88.0,105.0,"Prilly, Galicien"
8592049,3,81.0,102.0,"Prilly, Galicien"
8592049,4,86.0,102.0,"Prilly, Galicien"
8592049,5,160.0,158.0,"Prilly, Galicien"
8592049,6,9.0,11.5,"Prilly, Galicien"
8592053,0,-15.5,-7.5,"Lausanne, Grande-Borde"
8592053,1,-51.0,-42.0,"Lausanne, Grande-Borde"
8592053,2,-39.0,-10.0,"Lausanne, Grande-Borde"
8592053,3,13.5,13.5,"Lausanne, Grande-Borde"
8592053,4,-3.0,19.0,"Lausanne, Grande-Borde"
