stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8592047,0,39.0,58.5,"Lausanne, Forêt"
8592047,1,45.0,64.0,"Lausanne, Forêt"
8592047,2,42.0,60.0,"Lausanne, Forêt"
8592047,3,43.0,61.0,"Lausanne, Forêt"
8592047,4,41.0,60.0,"Lausanne, Forêt"
8592047,5,43.0,60.0,"Lausanne, Forêt"
8592047,6,31.0,42.0,"Lausanne, Forêt"
8592082,0,11.0,43.0,"Lausanne, Motte"
8592082,1,16.0,44.0,"Lausanne, Motte"
8592082,2,13.0,44.0,"Lausanne, Motte"
8592082,3,13.0,43.0,"Lausanne, Motte"
8592082,4,13.0,41.0,"Lausanne, Motte"
8592082,5,14.0,37.0,"Lausanne, Motte"
8592082,6,7.0,36.0,"Lausanne, Motte"
8592111,0,48.0,62.0,"Lausanne, Rouvraie"
8592111,1,49.0,65.0,"Lausanne, Rouvraie"
8592111,2,51.0,67.0,"Lausanne, Rouvraie"
8592111,3,50.0,64.0,"Lausanne, Rouvraie"
8592111,4,45.0,60.0,"Lausanne, Rouvraie"
8592111,5,47.0,59.0,"Lausanne, Rouvraie"
8592111,6,44.0,55.0,"Lausanne, Rouvraie"
8595004,0,70.0,81.0,"Lausanne, Entre-Bois"
8595004,1,75.0,86.0,"Lausanne, Entre-Bois"
8595004,2,73.0,84.0,"Lausanne, Entre-Bois"
8595004,3,73.0,82.0,"Lausanne, Entre-Bois"
8595004,4,71.0,82.0,"Lausanne, Entre-Bois"
8595004,5,68.5,77.0,"Lausanne, Entre-Bois"
8595004,6,56.0,62.0,"Lausanne, Entre-Bois"
8595005,0,0.0,0.0,"Le Mont-sur-L., Maillefer"
8595005,1,0.0,0.0,"Le Mont-sur-L., Maillefer"
8595005,2,0.0,0.0,"Le Mont-sur-L., Maillefer"
8595005,3,0.0,0.0,"Le Mont-sur-L., Maillefer"
8595005,4,0.0,0.0,"Le Mont-sur-L., Maillefer"
8595005,5,0.0,0.0,"Le Mont-sur-L., Maillefer"
8595005,6,0.0,0.0,"Le Mont-sur-L., Maillefer"
