stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8501207,0,18.0,51.0,"Lausanne, Montelly"
8501207,1,23.0,56.0,"Lausanne, Montelly"
8501207,2,18.0,51.0,"Lausanne, Montelly"
8501207,3,19.0,51.0,"Lausanne, Montelly"
8501207,4,16.0,51.0,"Lausanne, Montelly"
8501207,5,-1.0,32.0,"Lausanne, Montelly"
8501207,6,-4.0,30.0,"Lausanne, Montelly"
8501208,0,39.0,56.0,"Lausanne, Provence"
8501208,1,44.0,59.0,"Lausanne, Provence"
8501208,2,38.0,55.0,"Lausanne, Provence"
8501208,3,38.0,55.0,"Lausanne, Provence"
8501208,4,38.0,55.0,"Lausanne, Provence"
8501208,5,5.0,23.0,"Lausanne, Provence"
8501208,6,2.0,19.0,"Lausanne, Provence"
8501209,0,29.0,66.0,"Lausanne, Malley"
8501209,1,32.0,69.0,"Lausanne, Malley"
8501209,2,28.0,65.0,"Lausanne, Malley"
8501209,3,28.0,64.0,"Lausanne, Malley"
8501209,4,29.0,66.0,"Lausanne, Malley"
8501209,5,4.0,28.0,"Lausanne, Malley"
8501209,6,0.0,24.0,"Lausanne, Malley"
8501210,0,10.0,49.0,"Lausanne, Bourdonnette"
8501210,1,13.0,53.0,"Lausanne, Bourdonnette"
8501210,2,9.0,48.0,"Lausanne, Bourdonnette"
8501210,3,7.0,46.0,"Lausanne, Bourdonnette"
8501210,4,8.0,49.0,"Lausanne, Bourdonnette"
8501210,5,-29.0,17.0,"Lausanne, Bourdonnette"
8501210,6,-32.0,12.0,"Lausanne, Bourdonnette"
8501211,0,60.0,78.0,"Chavannes-R., UNIL-Chamberonne"
8501211,1,63.0,81.0,"Chavannes-R., UNIL-Chamberonne"
8501211,2,58.0,77.0,"Chavannes-R., UNIL-Chamberonne"
8501211,3,55.0,74.0,"Chavannes-R., UNIL-Chamberonne"
8501211,4,58.0,76.0,"Chavannes-R., UNIL-Chamberonne"
8501211,5,23.0,45.0,"Chavannes-R., UNIL-Chamberonne"
8501211,6,20.0,40.0,"Chavannes-R., UNIL-Chamberonne"
8501212,0,57.0,77.0,"Chavannes-R., UNIL-Mouline"
8501212,1,60.0,81.0,"Chavannes-R., UNIL-Mouline"
8501212,2,56.0,76.0,"Chavannes-R., UNIL-Mouline"
8501212,3,54.0,74.0,"Chavannes-R., UNIL-Mouline"
8501212,4,56.0,77.0,"Chavannes-R., UNIL-Mouline"
8501212,5,30.0,45.0,"Chavannes-R., UNIL-Mouline"
8501212,6,25.0,40.0,"Chavannes-R., UNIL-Mouline"
8501213,0,58.0,76.0,"Ecublens VD, UNIL-Sorge"
8501213,1,61.0,78.0,"Ecublens VD, UNIL-Sorge"
8501213,2,56.0,73.0,"Ecublens VD, UNIL-Sorge"
8501213,3,56.0,73.0,"Ecublens VD, UNIL-Sorge"
8501213,4,58.0,75.0,"Ecublens VD, UNIL-Sorge"
8501213,5,28.0,45.0,"Ecublens VD, UNIL-Sorge"
8501213,6,23.0,38.0,"Ecublens VD, UNIL-Sorge"
8501214,0,12.0,57.0,"Ecublens VD, EPFL"
8501214,1,12.0,60.0,"Ecublens VD, EPFL"
8501214,2,9.0,55.0,"Ecublens VD, EPFL"
8501214,3,9.0,55.0,"Ecublens VD, EPFL"
8501214,4,11.0,57.0,"Ecublens VD, EPFL"
8501214,5,-5.0,28.0,"Ecublens VD, EPFL"
8501214,6,-10.0,25.0,"Ecublens VD, EPFL"
8501215,0,53.0,68.0,"Ecublens VD, Bassenges"
8501215,1,53.0,68.0,"Ecublens VD, Bassenges"
8501215,2,50.0,66.0,"Ecublens VD, Bassenges"
8501215,3,50.0,66.0,"Ecublens VD, Bassenges"
8501215,4,52.0,68.0,"Ecublens VD, Bassenges"
8501215,5,36.0,52.0,"Ecublens VD, Bassenges"
8501215,6,34.0,49.0,"Ecublens VD, Bassenges"
8501216,0,51.0,72.0,"Ecublens VD, Cerisaie"
8501216,1,52.0,73.0,"Ecublens VD, Cerisaie"
8501216,2,49.0,70.0,"Ecublens VD, Cerisaie"
8501216,3,49.0,69.0,"Ecublens VD, Cerisaie"
8501216,4,51.0,72.0,"Ecublens VD, Cerisaie"
8501216,5,36.0,54.0,"Ecublens VD, Cerisaie"
8501216,6,35.0,51.0,"Ecublens VD, Cerisaie"
8501217,0,44.0,66.0,"Chavannes-R., Crochy"
8501217,1,45.0,67.0,"Chavannes-R., Crochy"
8501217,2,42.0,64.0,"Chavannes-R., Crochy"
8501217,3,41.0,64.0,"Chavannes-R., Crochy"
8501217,4,44.0,66.0,"Chavannes-R., Crochy"
8501217,5,32.0,48.0,"Chavannes-R., Crochy"
8501217,6,31.0,46.0,"Chavannes-R., Crochy"
8501218,0,43.0,70.0,"Ecublens VD, Epenex"
8501218,1,43.0,72.0,"Ecublens VD, Epenex"
8501218,2,41.0,68.0,"Ecublens VD, Epenex"
8501218,3,41.0,66.0,"Ecublens VD, Epenex"
8501218,4,41.0,67.0,"Ecublens VD, Epenex"
8501218,5,26.0,56.0,"Ecublens VD, Epenex"
8501218,6,24.0,51.0,"Ecublens VD, Epenex"
8530749,0,0.0,0.0,"Renens VD, gare"
8530749,1,0.0,0.0,"Renens VD, gare"
8530749,2,0.0,0.0,"Renens VD, gare"
8530749,3,0.0,0.0,"Renens VD, gare"
8530749,4,0.0,0.0,"Renens VD, gare"
8530749,5,0.0,0.0,"Renens VD, gare"
8530749,6,0.0,0.0,"Renens VD, gare"
8591818,0,0.0,0.0,"Lausanne-Flon, pl. de l'Europe"
8591818,1,0.0,0.0,"Lausanne-Flon, pl. de l'Europe"
8591818,2,0.0,0.0,"Lausanne-Flon, pl. de l'Europe"
8591818,3,0.0,0.0,"Lausanne-Flon, pl. de l'Europe"
8591818,4,0.0,0.0,"Lausanne-Flon, pl. de l'Europe"
8591818,5,0.0,0.0,"Lausanne-Flon, pl. de l'Europe"
8591818,6,0.0,0.0,"Lausanne-Flon, pl. de l'Europe"
8592133,0,16.0,51.0,"Lausanne, Vigie"
8592133,1,19.0,56.0,"Lausanne, Vigie"
8592133,2,17.0,52.0,"Lausanne, Vigie"
8592133,3,17.0,53.0,"Lausanne, Vigie"
8592133,4,16.0,50.0,"Lausanne, Vigie"
8592133,5,6.0,27.0,"Lausanne, Vigie"
8592133,6,5.0,25.0,"Lausanne, Vigie"
