stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8588839,0,0.0,28.0,"Renens VD, 14 Avril"
8588839,1,0.0,29.0,"Renens VD, 14 Avril"
8588839,2,0.0,24.0,"Renens VD, 14 Avril"
8588839,3,0.0,25.0,"Renens VD, 14 Avril"
8588839,4,0.0,29.0,"Renens VD, 14 Avril"
8588839,5,0.0,46.0,"Renens VD, 14 Avril"
8592001,0,65.0,89.0,"Lausanne, Boston"
8592001,1,74.0,97.0,"Lausanne, Boston"
8592001,2,71.0,95.0,"Lausanne, Boston"
8592001,3,68.0,91.0,"Lausanne, Boston"
8592001,4,69.0,92.0,"Lausanne, Boston"
8592001,5,68.0,91.0,"Lausanne, Boston"
8592010,0,0.0,0.0,"Lausanne, Chauderon"
8592010,1,0.0,0.0,"Lausanne, Chauderon"
8592010,2,0.0,0.0,"Lausanne, Chauderon"
8592010,3,0.0,0.0,"Lausanne, Chauderon"
8592010,4,0.0,0.0,"Lausanne, Chauderon"
8592010,5,0.0,0.0,"Lausanne, Chauderon"
8592011,0,24.0,50.0,"Lausanne, Chauderon-Ale"
8592011,1,38.0,65.0,"Lausanne, Chauderon-Ale"
8592011,2,40.5,74.0,"Lausanne, Chauderon-Ale"
8592011,3,33.0,65.0,"Lausanne, Chauderon-Ale"
8592011,4,41.0,69.0,"Lausanne, Chauderon-Ale"
8592011,5,48.0,85.0,"Lausanne, Chauderon-Ale"
8592049,0,2.0,51.0,"Prilly, Galicien"
8592049,1,15.0,65.0,"Prilly, Galicien"
8592049,2,16.0,66.0,"Prilly, Galicien"
8592049,3,4.0,55.0,"Prilly, Galicien"
8592049,4,15.0,66.0,"Prilly, Galicien"
8592049,5,22.0,68.0,"Prilly, Galicien"
8592102,0,55.0,87.0,"Lausanne, Prélaz"
8592102,1,64.0,95.0,"Lausanne, Prélaz"
8592102,2,61.0,95.0,"Lausanne, Prélaz"
8592102,3,56.0,91.0,"Lausanne, Prélaz"
8592102,4,57.5,91.0,"Lausanne, Prélaz"
8592102,5,61.0,92.0,"Lausanne, Prélaz"
8592103,0,61.0,80.0,"Lausanne, Prélaz-les-Roses"
8592103,1,69.0,88.0,"Lausanne, Prélaz-les-Roses"
8592103,2,72.0,91.0,"Lausanne, Prélaz-les-Roses"
8592103,3,60.0,79.0,"Lausanne, Prélaz-les-Roses"
8592103,4,69.0,89.0,"Lausanne, Prélaz-les-Roses"
8592103,5,72.0,89.0,"Lausanne, Prélaz-les-Roses"
8592109,0,67.0,98.0,"Lausanne, Recordon"
8592109,1,74.0,105.0,"Lausanne, Recordon"
8592109,2,73.0,104.0,"Lausanne, Recordon"
8592109,3,66.0,98.0,"Lausanne, Recordon"
8592109,4,69.0,99.0,"Lausanne, Recordon"
8592109,5,77.5,105.0,"Lausanne, Recordon"
8592202,0,34.0,51.0,"Renens VD, Avenir"
8592202,1,40.0,57.0,"Renens VD, Avenir"
8592202,2,36.0,56.0,"Renens VD, Avenir"
8592202,3,34.0,49.0,"Renens VD, Avenir"
8592202,4,44.0,59.0,"Renens VD, Avenir"
8592202,5,42.0,56.0,"Renens VD, Avenir"
8592213,0,40.0,56.0,"Renens VD, Hôtel-de-Ville"
8592213,1,50.0,68.0,"Renens VD, Hôtel-de-Ville"
8592213,2,45.0,65.0,"Renens VD, Hôtel-de-Ville"
8592213,3,42.0,59.0,"Renens VD, Hôtel-de-Ville"
8592213,4,50.0,65.0,"Renens VD, Hôtel-de-Ville"
8592213,5,60.0,75.0,"Renens VD, Hôtel-de-Ville"
8592217,0,2.0,39.0,"Renens VD, Perrelet"
8592217,1,10.0,48.0,"Renens VD, Perrelet"
8592217,2,11.0,48.0,"Renens VD, Perrelet"
8592217,3,1.0,38.0,"Renens VD, Perrelet"
8592217,4,9.0,46.0,"Renens VD, Perrelet"
8592217,5,21.5,58.0,"Renens VD, Perrelet"
8592221,0,43.0,56.0,"Renens VD, Sous l'Eglise"
8592221,1,52.0,67.0,"Renens VD, Sous l'Eglise"
8592221,2,48.0,65.0,"Renens VD, Sous l'Eglise"
8592221,3,43.0,58.0,"Renens VD, Sous l'Eglise"
8592221,4,51.0,66.0,"Renens VD, Sous l'Eglise"
8592221,5,63.0,78.0,"Renens VD, Sous l'Eglise"
8592223,0,48.0,69.0,"Renens VD, village"
8592223,1,56.0,77.0,"Renens VD, village"
8592223,2,55.0,77.0,"Renens VD, village"
8592223,3,48.0,68.0,"Renens VD, village"
8592223,4,58.0,78.0,"Renens VD, village"
8592223,5,68.0,85.0,"Renens VD, village"
