stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8579259,0,0.0,6.5,"Lutry, Landar"
8579259,1,0.0,14.0,"Lutry, Landar"
8579259,2,0.0,6.0,"Lutry, Landar"
8579259,3,0.0,1.0,"Lutry, Landar"
8579259,4,0.0,6.0,"Lutry, Landar"
8579260,0,11.0,22.0,"Lutry, Croix/Lutry"
8579260,1,25.0,40.5,"Lutry, Croix/Lutry"
8579260,2,14.0,29.0,"Lutry, Croix/Lutry"
8579260,3,13.0,25.0,"Lutry, Croix/Lutry"
8579260,4,10.0,21.0,"Lutry, Croix/Lutry"
8588438,0,55.0,61.0,"Lutry, Echerins"
8588438,1,72.0,75.0,"Lutry, Echerins"
8588438,2,61.0,65.0,"Lutry, Echerins"
8588438,3,63.0,66.0,"Lutry, Echerins"
8588438,4,58.0,62.0,"Lutry, Echerins"
8592146,0,59.5,69.0,"Lutry, Brélaz"
8592146,1,76.5,85.0,"Lutry, Brélaz"
8592146,2,65.0,75.0,"Lutry, Brélaz"
8592146,3,69.0,78.0,"Lutry, Brélaz"
8592146,4,67.0,75.0,"Lutry, Brélaz"
8592153,0,52.0,59.0,"Lutry, Gravesse"
8592153,1,73.0,77.0,"Lutry, Gravesse"
8592153,2,58.0,66.0,"Lutry, Gravesse"
8592153,3,61.0,68.0,"Lutry, Gravesse"
8592153,4,59.0,66.0,"Lutry, Gravesse"
8592154,0,15.0,30.0,"Lutry, Les Champs"
8592154,1,27.0,41.0,"Lutry, Les Champs"
8592154,2,21.0,37.0,"Lutry, Les Champs"
8592154,3,21.0,35.0,"Lutry, Les Champs"
8592154,4,23.0,40.5,"Lutry, Les Champs"
8592156,0,0.0,0.0,"Lutry, port"
8592156,1,0.0,0.0,"Lutry, port"
8592156,2,0.0,0.0,"Lutry, port"
8592156,3,0.0,0.0,"Lutry, port"
8592156,4,0.0,0.0,"Lutry, port"
8592161,0,53.0,60.0,"Lutry, Savoie"
8592161,1,73.0,79.0,"Lutry, Savoie"
8592161,2,61.5,69.0,"Lutry, Savoie"
8592161,3,62.0,72.0,"Lutry, Savoie"
8592161,4,57.0,67.0,"Lutry, Savoie"
8592162,0,26.0,36.5,"Lutry, Savuit-place"
8592162,1,43.5,52.0,"Lutry, Savuit-place"
8592162,2,31.0,40.0,"Lutry, Savuit-place"
8592162,3,32.0,43.0,"Lutry, Savuit-place"
8592162,4,31.5,46.0,"Lutry, Savuit-place"
8593856,0,57.0,64.0,"Lutry, Bossières"
8593856,1,74.5,79.0,"Lutry, Bossières"
8593856,2,65.0,69.5,"Lutry, Bossières"
8593856,3,66.0,73.0,"Lutry, Bossières"
8593856,4,67.0,71.0,"Lutry, Bossières"
8593861,0,17.5,34.0,"Lutry, gare"
8593861,1,32.0,48.0,"Lutry, gare"
8593861,2,25.0,42.0,"Lutry, gare"
8593861,3,25.0,43.0,"Lutry, gare"
8593861,4,28.0,46.0,"Lutry, gare"
