m1 m2 #ec428d
1 #ef665e
2 #f6af42
3 #939599
4 #4ca753
6 #42afef 
7 #2e3192
8 #8f53a1
9 #b5378f
13 #43988e
16 #c1b43a
17 #ed3833
18 #51c8f5
19 #3069b3
20 #de7735
21 #c95789
23 #d0a239
24 #51a090
25 #4f78a8
31 #529dba
32 #9d85be
33 #4c7520
35 #f4a240
36 #9db5be
38 #bb8732
41 #b5378f
42 #cc8f96
45 #3a8d94
46 #b49d33
47 #cf9c51
48 #80a0d3
49 #c192c2
54 #b9684a
56 #1054a6
58 #4ebbd1
60 #8dc63f
64 #c1353c
68 #605ea9
69 #9c95c9
