stop_id,day_of_week,hour,activity
8501207,0.0,0.0,6.0
8501207,0.0,5.0,10.0
8501207,0.0,6.0,22.0
8501207,0.0,7.0,27.75
8501207,0.0,8.0,28.0
8501207,0.0,9.0,28.0
8501207,0.0,10.0,25.75
8501207,0.0,11.0,24.75
8501207,0.0,12.0,24.0
8501207,0.0,13.0,23.5
8501207,0.0,14.0,24.0
8501207,0.0,15.0,26.25
8501207,0.0,16.0,28.0
8501207,0.0,17.0,27.75
8501207,0.0,18.0,27.75
8501207,0.0,19.0,24.5
8501207,0.0,20.0,24.0
8501207,0.0,21.0,21.0
8501207,0.0,22.0,18.0
8501207,0.0,23.0,18.0
8501207,1.0,0.0,8.0
8501207,1.0,5.0,10.0
8501207,1.0,6.0,22.0
8501207,1.0,7.0,27.75
8501207,1.0,8.0,28.0
8501207,1.0,9.0,28.0
8501207,1.0,10.0,25.75
8501207,1.0,11.0,24.25
8501207,1.0,12.0,24.0
8501207,1.0,13.0,24.0
8501207,1.0,14.0,24.0
8501207,1.0,15.0,26.25
8501207,1.0,16.0,28.0
8501207,1.0,17.0,27.75
8501207,1.0,18.0,27.25
8501207,1.0,19.0,24.5
8501207,1.0,20.0,23.5
8501207,1.0,21.0,21.0
8501207,1.0,22.0,17.5
8501207,1.0,23.0,18.0
8501207,2.0,0.0,8.0
8501207,2.0,5.0,10.0
8501207,2.0,6.0,22.0
8501207,2.0,7.0,25.5
8501207,2.0,8.0,26.0
8501207,2.0,9.0,26.0
8501207,2.0,10.0,25.25
8501207,2.0,11.0,24.75
8501207,2.0,12.0,24.0
8501207,2.0,13.0,24.0
8501207,2.0,14.0,24.0
8501207,2.0,15.0,25.5
8501207,2.0,16.0,26.0
8501207,2.0,17.0,25.75
8501207,2.0,18.0,26.0
8501207,2.0,19.0,24.0
8501207,2.0,20.0,23.75
8501207,2.0,21.0,21.0
8501207,2.0,22.0,18.0
8501207,2.0,23.0,18.0
8501207,3.0,0.0,8.0
8501207,3.0,5.0,10.0
8501207,3.0,6.0,22.0
8501207,3.0,7.0,25.5
8501207,3.0,8.0,26.0
8501207,3.0,9.0,26.0
8501207,3.0,10.0,25.25
8501207,3.0,11.0,24.75
8501207,3.0,12.0,24.0
8501207,3.0,13.0,24.0
8501207,3.0,14.0,24.0
8501207,3.0,15.0,25.5
8501207,3.0,16.0,26.0
8501207,3.0,17.0,26.0
8501207,3.0,18.0,26.0
8501207,3.0,19.0,24.5
8501207,3.0,20.0,24.0
8501207,3.0,21.0,21.0
8501207,3.0,22.0,18.0
8501207,3.0,23.0,18.0
8501207,4.0,0.0,8.0
8501207,4.0,5.0,10.0
8501207,4.0,6.0,22.0
8501207,4.0,7.0,25.5
8501207,4.0,8.0,26.0
8501207,4.0,9.0,25.5
8501207,4.0,10.0,25.25
8501207,4.0,11.0,24.75
8501207,4.0,12.0,24.0
8501207,4.0,13.0,24.0
8501207,4.0,14.0,24.0
8501207,4.0,15.0,25.5
8501207,4.0,16.0,26.0
8501207,4.0,17.0,26.0
8501207,4.0,18.0,26.0
8501207,4.0,19.0,24.5
8501207,4.0,20.0,24.0
8501207,4.0,21.0,21.0
8501207,4.0,22.0,17.75
8501207,4.0,23.0,18.0
8501207,5.0,0.0,13.0
8501207,5.0,5.0,8.0
8501207,5.0,6.0,18.0
8501207,5.0,7.0,19.0
8501207,5.0,8.0,19.0
8501207,5.0,9.0,20.0
8501207,5.0,10.0,20.0
8501207,5.0,11.0,20.0
8501207,5.0,12.0,20.0
8501207,5.0,13.0,19.5
8501207,5.0,14.0,19.75
8501207,5.0,15.0,19.75
8501207,5.0,16.0,19.5
8501207,5.0,17.0,20.0
8501207,5.0,18.0,20.0
8501207,5.0,19.0,18.0
8501207,5.0,20.0,18.0
8501207,5.0,21.0,19.0
8501207,5.0,22.0,16.0
8501207,5.0,23.0,16.0
8501207,6.0,0.0,12.0
8501207,6.0,5.0,2.0
8501207,6.0,6.0,14.0
8501207,6.0,7.0,14.0
8501207,6.0,8.0,16.0
8501207,6.0,9.0,17.0
8501207,6.0,10.0,20.0
8501207,6.0,11.0,20.0
8501207,6.0,12.0,20.0
8501207,6.0,13.0,20.0
8501207,6.0,14.0,20.0
8501207,6.0,15.0,20.0
8501207,6.0,16.0,20.0
8501207,6.0,17.0,20.0
8501207,6.0,18.0,20.0
8501207,6.0,19.0,18.0
8501207,6.0,20.0,18.0
8501207,6.0,21.0,20.0
8501207,6.0,22.0,16.0
8501207,6.0,23.0,16.0
8501208,0.0,0.0,3.0
8501208,0.0,5.0,7.0
8501208,0.0,6.0,13.5
8501208,0.0,7.0,20.0
8501208,0.0,8.0,20.0
8501208,0.0,9.0,20.0
8501208,0.0,10.0,17.0
8501208,0.0,11.0,16.0
8501208,0.0,12.0,16.0
8501208,0.0,13.0,16.0
8501208,0.0,14.0,16.0
8501208,0.0,15.0,17.5
8501208,0.0,16.0,20.0
8501208,0.0,17.0,20.0
8501208,0.0,18.0,20.0
8501208,0.0,19.0,16.5
8501208,0.0,20.0,16.0
8501208,0.0,21.0,13.0
8501208,0.0,22.0,12.0
8501208,0.0,23.0,12.0
8501208,1.0,0.0,5.0
8501208,1.0,5.0,7.0
8501208,1.0,6.0,13.5
8501208,1.0,7.0,20.0
8501208,1.0,8.0,20.0
8501208,1.0,9.0,20.0
8501208,1.0,10.0,17.0
8501208,1.0,11.0,16.0
8501208,1.0,12.0,16.0
8501208,1.0,13.0,16.0
8501208,1.0,14.0,16.0
8501208,1.0,15.0,17.5
8501208,1.0,16.0,20.0
8501208,1.0,17.0,20.0
8501208,1.0,18.0,19.5
8501208,1.0,19.0,16.5
8501208,1.0,20.0,16.0
8501208,1.0,21.0,13.0
8501208,1.0,22.0,12.0
8501208,1.0,23.0,12.0
8501208,2.0,0.0,5.0
8501208,2.0,5.0,7.0
8501208,2.0,6.0,13.25
8501208,2.0,7.0,18.0
8501208,2.0,8.0,18.0
8501208,2.0,9.0,18.0
8501208,2.0,10.0,16.5
8501208,2.0,11.0,16.0
8501208,2.0,12.0,16.0
8501208,2.0,13.0,16.0
8501208,2.0,14.0,16.0
8501208,2.0,15.0,16.75
8501208,2.0,16.0,18.0
8501208,2.0,17.0,18.0
8501208,2.0,18.0,18.0
8501208,2.0,19.0,16.25
8501208,2.0,20.0,16.0
8501208,2.0,21.0,13.0
8501208,2.0,22.0,12.0
8501208,2.0,23.0,12.0
8501208,3.0,0.0,5.0
8501208,3.0,5.0,7.0
8501208,3.0,6.0,13.25
8501208,3.0,7.0,18.0
8501208,3.0,8.0,18.0
8501208,3.0,9.0,18.0
8501208,3.0,10.0,16.5
8501208,3.0,11.0,16.0
8501208,3.0,12.0,16.0
8501208,3.0,13.0,16.0
8501208,3.0,14.0,16.0
8501208,3.0,15.0,16.75
8501208,3.0,16.0,18.0
8501208,3.0,17.0,18.0
8501208,3.0,18.0,18.0
8501208,3.0,19.0,16.25
8501208,3.0,20.0,16.0
8501208,3.0,21.0,13.0
8501208,3.0,22.0,12.0
8501208,3.0,23.0,12.0
8501208,4.0,0.0,5.0
8501208,4.0,5.0,7.0
8501208,4.0,6.0,13.25
8501208,4.0,7.0,18.0
8501208,4.0,8.0,18.0
8501208,4.0,9.0,18.0
8501208,4.0,10.0,16.5
8501208,4.0,11.0,16.0
8501208,4.0,12.0,16.0
8501208,4.0,13.0,16.0
8501208,4.0,14.0,16.0
8501208,4.0,15.0,16.75
8501208,4.0,16.0,18.0
8501208,4.0,17.0,18.0
8501208,4.0,18.0,18.0
8501208,4.0,19.0,16.25
8501208,4.0,20.0,16.0
8501208,4.0,21.0,13.0
8501208,4.0,22.0,12.0
8501208,4.0,23.0,12.0
8501208,5.0,0.0,10.0
8501208,5.0,5.0,5.0
8501208,5.0,6.0,10.0
8501208,5.0,7.0,10.0
8501208,5.0,8.0,12.0
8501208,5.0,9.0,12.0
8501208,5.0,10.0,12.0
8501208,5.0,11.0,12.0
8501208,5.0,12.0,12.0
8501208,5.0,13.0,12.0
8501208,5.0,14.0,12.0
8501208,5.0,15.0,12.0
8501208,5.0,16.0,12.0
8501208,5.0,17.0,12.0
8501208,5.0,18.0,12.0
8501208,5.0,19.0,10.0
8501208,5.0,20.0,10.0
8501208,5.0,21.0,10.0
8501208,5.0,22.0,10.0
8501208,5.0,23.0,10.0
8501208,6.0,0.0,9.0
8501208,6.0,6.0,8.0
